"code2","emoji","unicode"
AD,🇦🇩,U+1F1E6 U+1F1E9
AE,🇦🇪,U+1F1E6 U+1F1EA
AF,🇦🇫,U+1F1E6 U+1F1EB
AG,🇦🇬,U+1F1E6 U+1F1EC
AI,🇦🇮,U+1F1E6 U+1F1EE
AL,🇦🇱,U+1F1E6 U+1F1F1
AM,🇦🇲,U+1F1E6 U+1F1F2
AO,🇦🇴,U+1F1E6 U+1F1F4
AQ,🇦🇶,U+1F1E6 U+1F1F6
AR,🇦🇷,U+1F1E6 U+1F1F7
AS,🇦🇸,U+1F1E6 U+1F1F8
AT,🇦🇹,U+1F1E6 U+1F1F9
AU,🇦🇺,U+1F1E6 U+1F1FA
AW,🇦🇼,U+1F1E6 U+1F1FC
AX,🇦🇽,U+1F1E6 U+1F1FD
AZ,🇦🇿,U+1F1E6 U+1F1FF
BA,🇧🇦,U+1F1E7 U+1F1E6
BB,🇧🇧,U+1F1E7 U+1F1E7
BD,🇧🇩,U+1F1E7 U+1F1E9
BE,🇧🇪,U+1F1E7 U+1F1EA
BF,🇧🇫,U+1F1E7 U+1F1EB
BG,🇧🇬,U+1F1E7 U+1F1EC
BH,🇧🇭,U+1F1E7 U+1F1ED
BI,🇧🇮,U+1F1E7 U+1F1EE
BJ,🇧🇯,U+1F1E7 U+1F1EF
BL,🇧🇱,U+1F1E7 U+1F1F1
BM,🇧🇲,U+1F1E7 U+1F1F2
BN,🇧🇳,U+1F1E7 U+1F1F3
BO,🇧🇴,U+1F1E7 U+1F1F4
BQ,🇧🇶,U+1F1E7 U+1F1F6
BR,🇧🇷,U+1F1E7 U+1F1F7
BS,🇧🇸,U+1F1E7 U+1F1F8
BT,🇧🇹,U+1F1E7 U+1F1F9
BV,🇧🇻,U+1F1E7 U+1F1FB
BW,🇧🇼,U+1F1E7 U+1F1FC
BY,🇧🇾,U+1F1E7 U+1F1FE
BZ,🇧🇿,U+1F1E7 U+1F1FF
CA,🇨🇦,U+1F1E8 U+1F1E6
CC,🇨🇨,U+1F1E8 U+1F1E8
CD,🇨🇩,U+1F1E8 U+1F1E9
CF,🇨🇫,U+1F1E8 U+1F1EB
CG,🇨🇬,U+1F1E8 U+1F1EC
CH,🇨🇭,U+1F1E8 U+1F1ED
CI,🇨🇮,U+1F1E8 U+1F1EE
CK,🇨🇰,U+1F1E8 U+1F1F0
CL,🇨🇱,U+1F1E8 U+1F1F1
CM,🇨🇲,U+1F1E8 U+1F1F2
CN,🇨🇳,U+1F1E8 U+1F1F3
CO,🇨🇴,U+1F1E8 U+1F1F4
CR,🇨🇷,U+1F1E8 U+1F1F7
CU,🇨🇺,U+1F1E8 U+1F1FA
CV,🇨🇻,U+1F1E8 U+1F1FB
CW,🇨🇼,U+1F1E8 U+1F1FC
CX,🇨🇽,U+1F1E8 U+1F1FD
CY,🇨🇾,U+1F1E8 U+1F1FE
CZ,🇨🇿,U+1F1E8 U+1F1FF
DE,🇩🇪,U+1F1E9 U+1F1EA
DJ,🇩🇯,U+1F1E9 U+1F1EF
DK,🇩🇰,U+1F1E9 U+1F1F0
DM,🇩🇲,U+1F1E9 U+1F1F2
DO,🇩🇴,U+1F1E9 U+1F1F4
DZ,🇩🇿,U+1F1E9 U+1F1FF
EC,🇪🇨,U+1F1EA U+1F1E8
EE,🇪🇪,U+1F1EA U+1F1EA
EG,🇪🇬,U+1F1EA U+1F1EC
EH,🇪🇭,U+1F1EA U+1F1ED
ER,🇪🇷,U+1F1EA U+1F1F7
ES,🇪🇸,U+1F1EA U+1F1F8
ET,🇪🇹,U+1F1EA U+1F1F9
FI,🇫🇮,U+1F1EB U+1F1EE
FJ,🇫🇯,U+1F1EB U+1F1EF
FK,🇫🇰,U+1F1EB U+1F1F0
FM,🇫🇲,U+1F1EB U+1F1F2
FO,🇫🇴,U+1F1EB U+1F1F4
FR,🇫🇷,U+1F1EB U+1F1F7
